Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Característiques específiques;;Valor característiques específiques;;Superfície Centre Gestor;Metres
Q/-1011;Q;Sala de màquines i instal·lacions;Bomba Pressió;;;;;;5,0;5
Q/-1013;Q;Sala de màquines i instal·lacions;Pati de ventilació;;;;;;2,0;2
Q/-1014;Q;Sala de màquines i instal·lacions;Registre clavegueram;;;;;;8,0;8
Q/-1015;Q;Sala de màquines i instal·lacions;Pati de ventilació;;;;;;2,0;2
Q/-1016;Q;Sala de màquines i instal·lacions;Cablatge;;;;;;9,0;9
Q/-1019;Q;Sala de màquines i instal·lacions;Pati de ventilació;;;;;;2,0;2
Q/-1022;Q;Sala de màquines i instal·lacions;Cablatge;;;;;;12,0;12
Q6/0002;Q;Sala de màquines i instal·lacions;Cablatge;;;;;;6,0;6
Q6/0003;Q;Sala de màquines i instal·lacions;Cablatge;;;;;;3,0;3
QC/0021;Q;Vestíbuls i sales d'espera;Sala espera Adm. Centre;;;;;;8,0;8
QC/0025;Q;Vestíbuls i sales d'espera;Sala espera Secret. Adm.Centre;;;;;;8,0;8
QC/0031;Q;Vestíbuls i sales d'espera;Sala espera Secretar. Direccio;;;;;;8,0;8
QC/0063;Q;Vestíbuls i sales d'espera;Vestíbul (QP/0001, QP/0010);;;;;;181,0;181
QC/0087.3;Q;Vestíbuls i sales d'espera;Vestíbul;;;;;;4,0;4
QC/1001;Q;Vestíbuls i sales d'espera;vestibul;;;;;;80,0;80
QC/1058;Q;Vestíbuls i sales d'espera;Vestíbul;;;;;;49,0;49
QC/1075;Q;Vestíbuls i sales d'espera;Vestibul;;;;;;62,0;62
QC/1121;Q;Vestíbuls i sales d'espera;Vestíbul;;;;;;64,0;64
QC/2064;Q;Vestíbuls i sales d'espera;Vestíbul lavabos mixtes;;;;;;3,0;3
QC/2069;Q;Vestíbuls i sales d'espera;Vestíbul lavabos d`homes;;;;;;4,0;4
QC/2077;Q;Vestíbuls i sales d'espera;Vestíbul lavabos dones;;;;;;4,0;4
QC/2087;Q;Vestíbuls i sales d'espera;Vestíbul;;;;;;39,0;39
QC/2139;Q;Vestíbuls i sales d'espera;vestíbul;;;;;;44,0;44
QC/3060;Q;Vestíbuls i sales d'espera;Vestíbul lavabos mixtes;;;;;;3,0;3
QC/3063;Q;Vestíbuls i sales d'espera;Vestíbul lavabos d`homes;;;;;;4,0;4
QC/3071;Q;Vestíbuls i sales d'espera;Vestíbul lavabos dones;;;;;;4,0;4
QP/0007;Q;Vestíbuls i sales d'espera;Vestíbul(QP/0006.1/QP/0008.1);;;;;;7,0;7
QP/0009;Q;Vestíbuls i sales d'espera;Vestíbul;;;;;;3,0;3
QP/0009.1;Q;Vestíbuls i sales d'espera;Vestíbul;;;;;;7,0;7
QP/0009.4;Q;Vestíbuls i sales d'espera;Vestíbul;;;;;;2,0;2
QS/0023;Q;Vestíbuls i sales d'espera;Vestibul mixte;;;;;;15,0;15
QS/0028;Q;Vestíbuls i sales d'espera;Vestibul lavabo homes;;;;;;3,0;3
QS/0035;Q;Vestíbuls i sales d'espera;Vestíbul lavabos mixtes;;;;;;18,0;18
QS/1039;Q;Vestíbuls i sales d'espera;Vestíbul lavabos mixtes;;;;;;14,0;14
Q/-1000;Q;Vestíbuls i sales d'espera;Vestíbul (accés centre aparcam;;;;;;18,0;18
Q/-1002;Q;Vestíbuls i sales d'espera;Vestíbul (accés ascensors);;;;;;12,0;12
Q/-1005;Q;Vestíbuls i sales d'espera;Vestíbul;;;;;;135,0;135
QC/-1002;Q;Vestuaris;Vestidors homes(2 portes Int.);;;;;;12,0;12
QC/-1008;Q;Vestuaris;Vestidors homes(2 portes Int.);;;;;;11,0;11
QC/-1036;Q;Vestuaris;Vestidors dones(2 portes int.);;;;;;13,0;13
QC/-1042;Q;Vestuaris;Vestidor dones(2 portes Int.);;;;;;14,0;14
QP/0009.7;Q;Vestuaris;Vestuari;;;;;;4,0;4
QP/009.7;Q;Vestuaris;vestuari;;;;;;4,0;4
QC/0028;Q;Espais cedits i concessionaris;Habitació Banc Santander;;;;;;1,0;1
QC/1079;Q;Espais cedits i concessionaris;Fotocòpies;;;;;;5,0;5
Q/-1001;Q;Espais cedits i concessionaris;Bar cafeteria;;;;;;267,0;267
Q/-1003;Q;Espais cedits i concessionaris;Magatzem (bar cafeteria);;;;;;30,0;30
Q/-1004;Q;Espais cedits i concessionaris;Vestidor (personal cafeteria);;;;;;8,0;8
Q115/EM/08;Q;Càmara vídeo (EM/08);Videoconferència;;;;;;0,0;0
Q115/EM/15;Q;Canó projector (EM/15);Canó projectors portàtils;;;;;;0,0;0
Q115/EM/25;Q;Punter làser (EM/25);Punter làser;;;;;;0,0;0
Q115/EM/34;Q;Ordinador portàtil (EM/34);Portàtils;;;;;;0,0;0
Q115/EM/36;Q;Aigues (EM/36);Ampolles individuals d'aigua;;;;;;0,0;0
Q115/EM/37;Q;Catering (EM/37);Habilitar l'espai per a càtering;;;;;;0,0;0
Q115/EM/38;Q;Cadires (EM/38);Cadires;;;;;;0,0;0
Totals;;;;;;;;;19898;19898
