Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Característiques específiques;;Valor característiques específiques;;Superfície Centre Gestor;Metres
Q1/0007;Q;Aules informàtiques;Aula d`informàtica A (2 portes;;Connexió xarxa;;Sí;;103,0;103
;;;;;Impressora làser;;Sí;;;
;;;;;Impressora matricial;;Sí;;;
;;;;;Ordinador;;PC;;;
;;;;;Pissarra;;blanca -pantalla;;;
Q1/0013;Q;Aules informàtiques;Sala d`operadors d`informàt.;;;;;;43,0;43
Q1/0019;Q;Aules informàtiques;Aula d`informàtica B;;Impressora;;color;;103,0;103
;;;;;Impressora làser;;Sí;;;
;;;;;Impressora matricial;;Sí;;;
;;;;;Ordinador;;PC;;;
;;;;;Pissarra;;blanca -pantalla;;;
Q6/1012;Q;Aules informàtiques;Sala ordinadors ús lliure;;Connexió xarxa;;Sí;;74,0;74
;;;;;Connexió xarxa sense fil;;Sí;;;
;;;;;Impressora;; ;;;
;;;;;Ordinador;;PC;;;
;;;;;Ordinadors (nombre);;20;;;
;;;;;Pissarra;; ;;;
;;;;;Vídeo;; ;;;
QC/1082;Q;Laboratoris docents;Lab. recerca (QC/1086-QC/1090);;Ordinador;; ;;48,0;96
;;;;;Pissarra;; ;;;
;;;;;;;;;48,0;
QC/1084;Q;Laboratoris docents;Lab.recerca II(QC/1088-QC/1092;;Ordinador;; ;;9,6;96
;;;;;Pissarra;; ;;;
;;;;;;;;;86,4;
QC/3088;Q;Laboratoris docents;Laboratori;;;;;;91,0;91
Q2/0007;Q;Laboratoris docents;Lab. Integrat Informàtica 1;;Ordinador;;PC;;51,0;51
;;;;;Pissarra;; ;;;
Q2/0011;Q;Laboratoris docents;Lab. Integrat Informàtica 2;;;;;;51,0;51
Q2/0013;Q;Laboratoris docents;Lab. Integrat Informàtica 3;;Ordinador;;PC;;51,0;51
;;;;;Ordinadors (nombre);;12;;;
;;;;;Pissarra;; ;;;
Q2/0017;Q;Laboratoris docents;Lab. Integrat Informàtica 4;;Ordinador;; ;;51,0;51
;;;;;Ordinadors (nombre);;12;;;
;;;;;Pissarra;; ;;;
Q2/0019;Q;Laboratoris docents;Lab. Integrat Informàtica 5;;Ordinador;; ;;51,0;51
;;;;;Ordinadors (nombre);;12;;;
;;;;;Pissarra;; ;;;
Q3/0007;Q;Laboratoris docents;Laboratori Integrat 6 (Q3/0007);;Canó projecció fix;;Sí;;50,0;50
;;;;;Connexió xarxa;;Sí;;;
;;;;;Connexió xarxa sense fil;;Sí;;;
;;;;;Ordinador;;amb USB;;;
;;;;;Pantalla fixa;;Sí;;;
;;;;;Pissarra;;blanca -pantalla;;;
Q3/0011;Q;Laboratoris docents;Laboratori Integrat 7 (Q3/0011);;Canó projecció fix;;Sí;;50,0;50
;;;;;Connexió xarxa;;Sí;;;
;;;;;Connexió xarxa sense fil;;Sí;;;
;;;;;Ordinador;;amb USB;;;
;;;;;Pantalla fixa;;Sí;;;
;;;;;Pissarra;;blanca -pantalla;;;
Q5/0003;Q;Laboratoris docents;Lab. docent Estruct. Comput.;;Ordinador;;PC;;18,5;74
;;;;;Pissarra;;blanca -pantalla;;;
;;;;;;;;;55,5;
Q5/0004;Q;Laboratoris docents;Laboratori docent ACSO;;Ordinador;;PC;;25,25;101
;;;;;Pissarra;; ;;;
;;;;;;;;;75,75;
Q5/1005;Q;Laboratoris docents;Laboratori docent Ee;;;;;;67,5;75
;;;;;;;;;7,5;
Q5/1006;Q;Laboratoris docents;Laboratori de Projectes EE;;;;;;25,0;25
Q5/1009;Q;Laboratoris docents;Laboratori docent Elect.Gral.;;Ordinador;; ;;69,3;77
;;;;;Pissarra;; ;;;
;;;;;;;;;7,7;
Q5/1010;Q;Laboratoris docents;Laboratori docent Automàtica;;;;;;50,0;50
