Data inicial;Hora inicial;Data final;Hora final;Total hores;Espai;Estudi;Activitat;Alumnes matriculats;Modalitat docencia;Observacions
 ; ; ; ; ;Q3/1007;10063 Enginyeria Electrònica de Telecomunicació;102709 Teoria de Circuits i Electrònica - 351;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/1007;6084 Enginyeria de Telecomunicació / Telecommunication Engineering;102709 Teoria de Circuits i Electrònica - 351;Sense grup de matricula; ; 
08/01/2021;08:30;08/01/2021;09:30;1;Q3/0003;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103799 Fonaments d'Informàtica - 31;76; ; 
 ; ; ; ; ;Q3/0003;10064 Enginyeria de Sistemes de Telecomunicació;103799 Fonaments d'Informàtica - 31;76; ; 
 ; ; ; ; ;Q3/0003;10063 Enginyeria Electrònica de Telecomunicació;103799 Fonaments d'Informàtica - 31;76; ; 
08/01/2021;08:30;08/01/2021;09:30;1;Q4/0011;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 33;79; ; 
 ; ; ; ; ;Q4/0011;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 33;79; ; 
 ; ; ; ; ;Q4/0011;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 33;79; ; 
 ; ; ; ; ;Q4/0011;10064 Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 33;79; ; 
 ; ; ; ; ;Q4/0011;10063 Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 33;79; ; 
08/01/2021;08:30;08/01/2021;09:30;1;Q1/1003;;Examen parcial 103801 Àlgebra;0; ; 
08/01/2021;08:30;08/01/2021;10:30;2;Q2/1009;10062 Enginyeria Informàtica;102760 Gestió de Projectes - 418;Sense grup de matricula; ; 
 ; ; ; ; ;Q2/1009;6121 Enginyeria Informàtica / Computer Engineering;102760 Gestió de Projectes - 418;Sense grup de matricula; ; 
08/01/2021;08:30;08/01/2021;10:30;2;Q2/1013;10062 Enginyeria Informàtica;102760 Gestió de Projectes - 417;Sense grup de matricula; ; 
 ; ; ; ; ;Q2/1013;6121 Enginyeria Informàtica / Computer Engineering;102760 Gestió de Projectes - 417;Sense grup de matricula; ; 
08/01/2021;08:30;08/01/2021;10:30;2;Q2/1005;10063 Enginyeria Electrònica de Telecomunicació;102725 Compatibilitat Electromagnètica - 320;21; ; 
 ; ; ; ; ;Q2/1005;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;102725 Compatibilitat Electromagnètica - 320;21; ; 
 ; ; ; ; ;Q2/1005;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;102725 Compatibilitat Electromagnètica - 320;21; ; 
08/01/2021;08:30;08/01/2021;10:30;2;Q2/1003;;Examen parcial 102704 Antenes;0; ; 
08/01/2021;09:00;08/01/2021;11:00;2;Q1/1011;;final Operacions de separació-GEQ;0; ; 
08/01/2021;09:00;08/01/2021;12:00;3;Q4/0003;;Examen final 102723 Disseny de sistemes electrònics;0; ; 
08/01/2021;09:00;08/01/2021;12:00;3;Q4/1005;;Examen final 102762 Anglès professional I;0; ; 
08/01/2021;09:30;08/01/2021;10:30;1;Q3/0003;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;103798 Fonaments d'Enginyeria - 311;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/0003;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;103798 Fonaments d'Enginyeria - 311;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/0003;10063 Enginyeria Electrònica de Telecomunicació;103798 Fonaments d'Enginyeria - 311;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/0003;10064 Enginyeria de Sistemes de Telecomunicació;103798 Fonaments d'Enginyeria - 311;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/0003;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103798 Fonaments d'Enginyeria - 311;Sense grup de matricula; ; 
08/01/2021;09:30;08/01/2021;10:30;1;Q4/0011;10063 Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 331;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/0011;10064 Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 331;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/0011;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 331;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/0011;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 331;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/0011;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 331;Sense grup de matricula; ; 
