Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Accés per a minusvàlids;Aire condicionat;Capacitat exàmens;Capacitat;Capacitat docència;Connexió xarxa;Mobiliari;Porta secundària;Roseta xarxa núm.;Telèfon núm.;Televisor;Característiques específiques;;Valor característiques específiques;;Centre gestor;Superfície Centre Gestor;Metres;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Pantalla fixa;;Sí;;;;;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Escola d'Enginyeria;14,0;;
S/103;S;Seminaris;Seminari A;;Sí;Sí;20;;40;;Taules i cadires;; ;;;Canó projecció fix;;Sí;;Escola d'Enginyeria;11,6;58;
;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat d'Economia i Empresa;46,4;;
S/105A;S;Seminaris;Seminari B;;Sí;Sí;20;;40;;Taules i cadires;; ;;;Canó projecció fix;;Sí;;Facultat d'Economia i Empresa;47,2;59;
;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Escola d'Enginyeria;11,8;;
S/-111;S;Seminaris;Seminari F;Dos ventiladors de sostre;Sí;Sí;20;;40;;Taules i cadires;; ;;;Canó projecció fix;;Sí;;Escola d'Enginyeria;52,0;65;
;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat d'Economia i Empresa;13,0;;
S/122;S;Seminaris;Seminari D;Megafonia, micròfon i càmera robòtica;Sí;Sí;10;;20;;Taules i cadires;; ;;;Canó projecció fix;;Sí;;Escola d'Enginyeria;28,0;35;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat d'Economia i Empresa;7,0;;
S/CESSIO;S;Aules especials;Cessió material Projecte Tempus;;No;No;;;0;;Varis; ; ;;;Ordinador;; ;;Adm. Sabadell;2,0;2;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
S/120;S;Aules informàtiques;Aula Informàtica K;;Sí;Sí;23;;23;;Taula i cadires; ; ;;;Connexió xarxa;;Sí;;Escola d'Enginyeria;35,0;35;
;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;Impressora;; ;;;;;
;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;; ;;;;;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
S/121;S;Aules informàtiques;Aula d`informàtica J;;No;Sí;;;18;;Taules i cadires; ; ;;;Canó projecció fix;;Sí;;Escola d'Enginyeria;6,6;33;
;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;DVD;;Sí;;;;;
;;;;;;;;;;;;;;;;Impressora;; ;;;;;
;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Ordinadors (nombre);;12;;;;;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat d'Economia i Empresa;26,4;;
S/123;S;Aules informàtiques;Aula d`informàtica I;;Sí;Sí;24;;24;;Taula i cadires; ; ;;;Canó projecció fix;;Sí;;Facultat d'Economia i Empresa;15,4;77;
;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;Impressora;; ;;;;;
;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Ordinadors (nombre);;24;;;;;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Escola d'Enginyeria;61,6;;
S/123A;S;Aules informàtiques;Aula d`informàtica H;;No;Sí;;;24;;Taules i cadires;;;;;Ordinador;;PC;;Facultat d'Economia i Empresa;6,8;34;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;;Escola d'Enginyeria;27,2;;
S/129;S;Aules informàtiques;Aula d`informàtica B;;No;Sí;;;32;;Taules i cadires; ; ;;;Canó projecció fix;;Sí;;Escola d'Enginyeria;31,2;39;
;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;Impressora;; ;;;;;
;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Ordinadors (nombre);;16;;;;;
;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat d'Economia i Empresa;7,8;;
S/130;S;Aules informàtiques;Aula d`informàtica C;;No;Sí;;;32;;Taules i cadires; ; ;;;Canó projecció fix;;Sí;;Escola d'Enginyeria;31,2;39;
;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;Impressora;; ;;;;;
